time_s,ax,ay,az,gx_cal,gy_cal,gz_cal,mx,my,mz
1.679,-9.485,0.803,0.421,-0.249,0.128,0.102,-61.0,224.0,-324.0
1.732,-9.829,0.344,-0.268,-0.249,-0.011,0.032,-65.0,225.0,-324.0
1.785,-9.676,0.459,0.076,-0.11,-0.081,-0.107,-65.0,226.0,-324.0
1.838,-9.561,0.497,0.191,-0.319,-0.15,-0.037,-65.0,225.0,-322.0
1.891,-9.447,0.497,0.115,-0.249,0.197,0.171,-65.0,225.0,-322.0
1.944,-9.408,0.421,-0.038,-0.388,-0.011,-0.037,-64.0,225.0,-324.0
1.997,-9.638,0.727,0.268,-0.249,0.058,-0.107,-64.0,226.0,-324.0
2.05,-9.523,0.459,0.191,-0.319,-0.15,-0.107,-59.0,225.0,-325.0
2.103,-9.37,0.497,0.153,-0.179,-0.011,-0.107,-63.0,226.0,-323.0
2.156,-9.791,0.535,0.0,-0.388,-0.081,-0.107,-63.0,226.0,-323.0
2.209,-9.714,0.306,-0.038,-0.319,0.058,-0.176,-63.0,225.0,-324.0
2.262,-9.561,0.306,-0.229,-0.319,0.058,-0.037,-65.0,225.0,-325.0
2.315,-9.676,0.803,0.688,-0.319,0.058,0.102,-62.0,225.0,-324.0
2.368,-9.447,0.459,0.382,-0.527,-0.22,0.31,-63.0,225.0,-323.0
2.421,-9.944,0.574,-0.268,-0.249,-0.15,-0.037,-63.0,225.0,-323.0
2.474,-9.638,0.765,0.382,-0.249,-0.081,-0.107,-64.0,225.0,-326.0
2.527,-9.753,0.459,0.115,-0.527,0.128,0.032,-63.0,225.0,-325.0
2.58,-9.6,0.574,0.038,-0.458,-0.22,0.032,-64.0,224.0,-324.0
2.633,-9.6,0.612,-0.306,-0.458,-0.011,0.032,-63.0,226.0,-323.0
2.686,-9.447,0.535,0.038,-0.319,-0.15,0.102,-63.0,226.0,-323.0
2.739,-9.638,0.497,-0.153,-0.179,-0.011,0.032,-62.0,226.0,-325.0
2.792,-9.714,0.382,-0.038,-0.11,-0.011,-0.107,-65.0,225.0,-324.0
2.845,-9.485,0.612,0.306,-0.11,-0.29,-0.037,-64.0,224.0,-326.0
2.898,-9.906,0.727,0.076,-0.319,-0.15,-0.037,-64.0,224.0,-323.0
2.951,-9.791,0.803,0.268,-0.179,-0.081,0.171,-64.0,224.0,-323.0
3.004,-9.676,0.612,0.268,-0.319,-0.22,-0.107,-64.0,226.0,-324.0
3.057,-9.408,0.535,0.229,-0.179,-0.081,-0.316,-63.0,226.0,-324.0
3.11,-9.676,0.306,-0.268,-0.04,0.058,-0.107,-63.0,223.0,-324.0
3.163,-9.791,0.574,-0.038,-0.179,-0.011,-0.246,-63.0,225.0,-323.0
3.216,-9.753,0.574,-0.076,-0.388,-0.22,-0.037,-63.0,225.0,-323.0
3.269,-9.561,0.497,0.153,0.029,-0.011,-0.176,-63.0,225.0,-325.0
3.322,-9.561,0.382,0.038,-0.319,-0.15,0.032,-63.0,226.0,-324.0
3.375,-9.638,0.229,0.0,-0.527,-0.011,0.102,-63.0,225.0,-324.0
3.428,-9.523,0.344,0.038,-0.458,-0.15,0.102,-63.0,226.0,-324.0
